Lead_1,Lead_2,Lead_3,Lead_4,Lead_5,Lead_6,Lead_7,Lead_8,Lead_9,Lead_10,Lead_11,Lead_12
-0.348409,-0.467727,-0.458182,-0.386591,-0.377045,-0.377045,,,,,,
-0.348409,-0.467727,-0.458182,-0.386591,-0.377045,-0.377045,,,,,,
-0.348409,-0.467727,-0.458182,-0.386591,-0.377045,-0.377045,,,,,,
-0.348409,-0.467727,-0.458182,-0.386591,-0.377045,-0.377045,,,,,,
-0.348409,-0.467727,-0.458182,-0.386591,-0.377045,-0.377045,,,,,,
-0.348409,-0.467727,-0.458182,-0.386591,-0.377045,-0.377045,,,,,,
-0.353182,-0.472500,-0.453409,-0.386591,-0.381818,-0.381818,,,,,,
-0.372273,-0.477273,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.367500,-0.477273,-0.448636,-0.377045,-0.386591,-0.377045,,,,,,
-0.367500,-0.486818,-0.458182,-0.372273,-0.386591,-0.386591,,,,,,
-0.357955,-0.477273,-0.453409,-0.381818,-0.386591,-0.377045,,,,,,
-0.362727,-0.462955,-0.439091,-0.386591,-0.386591,-0.367500,,,,,,
-0.372273,-0.458182,-0.429545,-0.386591,-0.391364,-0.357955,,,,,,
-0.357955,-0.434318,-0.420000,-0.405682,-0.396136,-0.338864,,,,,,
-0.315000,-0.381818,-0.415227,-0.443864,-0.381818,-0.319773,,,,,,
-0.199332,-0.281591,-0.420000,-0.539318,-0.329318,-0.276818,,,,,,
-0.085909,-0.178500,-0.439091,-0.696818,-0.238636,-0.214773,,,,,,
-0.082091,-0.170864,-0.443864,-0.848909,-0.157500,-0.143182,,,,,,
-0.078273,-0.163227,-0.420000,-0.940227,-0.124091,-0.076364,,,,,,
-0.074455,-0.155591,-0.405682,-0.911591,-0.157500,-0.071591,,,,,,
-0.070636,-0.147955,-0.410455,-0.768409,-0.229091,-0.143182,,,,,,
-0.143182,-0.224318,-0.420000,-0.620455,-0.295909,-0.233864,,,,,,
-0.276818,-0.348409,-0.415227,-0.477273,-0.362727,-0.305455,,,,,,
-0.362727,-0.415227,-0.405682,-0.405682,-0.405682,-0.334091,,,,,,
-0.367500,-0.434318,-0.415227,-0.396136,-0.405682,-0.338864,,,,,,
-0.357955,-0.448636,-0.429545,-0.396136,-0.386591,-0.353182,,,,,,
-0.357955,-0.458182,-0.443864,-0.396136,-0.386591,-0.362727,,,,,,
-0.362727,-0.467727,-0.443864,-0.386591,-0.386591,-0.367500,,,,,,
-0.372273,-0.477273,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.381818,-0.482045,-0.448636,-0.362727,-0.386591,-0.381818,,,,,,
-0.386591,-0.501136,-0.458182,-0.357955,-0.386591,-0.391364,,,,,,
-0.391364,-0.501136,-0.453409,-0.353182,-0.391364,-0.391364,,,,,,
-0.386591,-0.491591,-0.453409,-0.357955,-0.386591,-0.381818,,,,,,
-0.362727,-0.477273,-0.453409,-0.377045,-0.386591,-0.372273,,,,,,
-0.372273,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.372273,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.367500,-0.472500,-0.448636,-0.381818,-0.386591,-0.372273,,,,,,
-0.372273,-0.482045,-0.458182,-0.372273,-0.386591,-0.381818,,,,,,
-0.377045,-0.477273,-0.443864,-0.372273,-0.391364,-0.377045,,,,,,
-0.377045,-0.462955,-0.434318,-0.381818,-0.396136,-0.362727,,,,,,
-0.367500,-0.462955,-0.434318,-0.386591,-0.396136,-0.362727,,,,,,
-0.357955,-0.453409,-0.434318,-0.391364,-0.386591,-0.357955,,,,,,
-0.357955,-0.443864,-0.434318,-0.396136,-0.386591,-0.353182,,,,,,
-0.362727,-0.443864,-0.424773,-0.396136,-0.391364,-0.348409,,,,,,
-0.367500,-0.453409,-0.429545,-0.386591,-0.386591,-0.357955,,,,,,
-0.367500,-0.462955,-0.434318,-0.386591,-0.386591,-0.362727,,,,,,
-0.367500,-0.458182,-0.434318,-0.391364,-0.386591,-0.362727,,,,,,
-0.357955,-0.472500,-0.453409,-0.377045,-0.386591,-0.372273,,,,,,
-0.367500,-0.486818,-0.462955,-0.367500,-0.386591,-0.391364,,,,,,
-0.367500,-0.477273,-0.448636,-0.377045,-0.386591,-0.377045,,,,,,
-0.348409,-0.453409,-0.434318,-0.396136,-0.386591,-0.357955,,,,,,
-0.348409,-0.443864,-0.439091,-0.396136,-0.386591,-0.357955,,,,,,
-0.367500,-0.467727,-0.448636,-0.381818,-0.386591,-0.372273,,,,,,
-0.377045,-0.472500,-0.443864,-0.377045,-0.386591,-0.372273,,,,,,
-0.377045,-0.462955,-0.434318,-0.381818,-0.391364,-0.362727,,,,,,
-0.362727,-0.439091,-0.424773,-0.396136,-0.396136,-0.343636,,,,,,
-0.343636,-0.415227,-0.424773,-0.415227,-0.386591,-0.334091,,,,,,
-0.343636,-0.415227,-0.424773,-0.424773,-0.386591,-0.334091,,,,,,
-0.338864,-0.410455,-0.415227,-0.424773,-0.396136,-0.329318,,,,,,
-0.338864,-0.405682,-0.415227,-0.424773,-0.386591,-0.329318,,,,,,
-0.338864,-0.410455,-0.420000,-0.424773,-0.386591,-0.334091,,,,,,
-0.338864,-0.415227,-0.424773,-0.424773,-0.386591,-0.334091,,,,,,
-0.343636,-0.415227,-0.424773,-0.415227,-0.391364,-0.334091,,,,,,
-0.338864,-0.405682,-0.415227,-0.429545,-0.386591,-0.329318,,,,,,
-0.329318,-0.386591,-0.405682,-0.443864,-0.386591,-0.315000,,,,,,
-0.319773,-0.357955,-0.386591,-0.458182,-0.391364,-0.295909,,,,,,
-0.319773,-0.353182,-0.386591,-0.462955,-0.386591,-0.295909,,,,,,
-0.319773,-0.367500,-0.400909,-0.453409,-0.386591,-0.305455,,,,,,
-0.324545,-0.377045,-0.405682,-0.443864,-0.386591,-0.315000,,,,,,
-0.329318,-0.377045,-0.405682,-0.443864,-0.386591,-0.315000,,,,,,
-0.319773,-0.362727,-0.386591,-0.458182,-0.386591,-0.300682,,,,,,
-0.319773,-0.362727,-0.391364,-0.453409,-0.386591,-0.300682,,,,,,
-0.324545,-0.396136,-0.420000,-0.434318,-0.386591,-0.329318,,,,,,
-0.334091,-0.410455,-0.424773,-0.424773,-0.386591,-0.334091,,,,,,
-0.343636,-0.424773,-0.424773,-0.415227,-0.386591,-0.343636,,,,,,
-0.348409,-0.429545,-0.424773,-0.415227,-0.386591,-0.343636,,,,,,
-0.338864,-0.424773,-0.424773,-0.415227,-0.386591,-0.343636,,,,,,
-0.329318,-0.410455,-0.424773,-0.429545,-0.377045,-0.334091,,,,,,
-0.324545,-0.410455,-0.429545,-0.429545,-0.377045,-0.334091,,,,,,
-0.357955,-0.443864,-0.434318,-0.396136,-0.391364,-0.353182,,,,,,
-0.372273,-0.462955,-0.434318,-0.381818,-0.396136,-0.362727,,,,,,
-0.367500,-0.453409,-0.424773,-0.386591,-0.391364,-0.353182,,,,,,
-0.381818,-0.462955,-0.424773,-0.377045,-0.400909,-0.357955,,,,,,
-0.381818,-0.472500,-0.429545,-0.372273,-0.396136,-0.367500,,,,,,
-0.362727,-0.472500,-0.448636,-0.381818,-0.386591,-0.372273,,,,,,
-0.362727,-0.472500,-0.453409,-0.377045,-0.386591,-0.377045,,,,,,
-0.367500,-0.477273,-0.453409,-0.377045,-0.386591,-0.381818,,,,,,
-0.367500,-0.472500,-0.453409,-0.381818,-0.386591,-0.372273,,,,,,
-0.357955,-0.453409,-0.434318,-0.396136,-0.386591,-0.357955,,,,,,
-0.357955,-0.443864,-0.429545,-0.405682,-0.386591,-0.353182,,,,,,
-0.357955,-0.448636,-0.439091,-0.396136,-0.386591,-0.357955,,,,,,
-0.357955,-0.458182,-0.443864,-0.391364,-0.386591,-0.362727,,,,,,
-0.367500,-0.467727,-0.443864,-0.381818,-0.386591,-0.367500,,,,,,
-0.377045,-0.477273,-0.443864,-0.372273,-0.391364,-0.372273,,,,,,
-0.381818,-0.472500,-0.434318,-0.367500,-0.396136,-0.372273,,,,,,
-0.377045,-0.462955,-0.434318,-0.381818,-0.396136,-0.362727,,,,,,
-0.367500,-0.453409,-0.434318,-0.386591,-0.386591,-0.357955,,,,,,
-0.357955,-0.453409,-0.439091,-0.391364,-0.386591,-0.362727,,,,,,
-0.343636,-0.439091,-0.434318,-0.405682,-0.386591,-0.353182,,,,,,
-0.343636,-0.429545,-0.429545,-0.415227,-0.386591,-0.343636,,,,,,
-0.364636,-0.448636,-0.424773,-0.396136,-0.391364,-0.353182,,,,,,
-0.391364,-0.467727,-0.424773,-0.372273,-0.410455,-0.353182,,,,,,
-0.386591,-0.453409,-0.415227,-0.377045,-0.415227,-0.343636,,,,,,
-0.377045,-0.434318,-0.415227,-0.391364,-0.405682,-0.334091,,,,,,
-0.362727,-0.429545,-0.415227,-0.400909,-0.405682,-0.334091,,,,,,
